2016-05-10 11:29:14 status half-installed libarchive-extract-perl:all 0.72-1
2016-05-10 11:29:14 status unpacked libarchive-extract-perl:all 0.72-1
2016-05-10 11:29:14 status unpacked libarchive-extract-perl:all 0.72-1
2016-05-10 11:29:14 install libcgi-pm-perl:all <none> 4.09-1
2016-05-10 11:29:14 status half-installed libcgi-pm-perl:all 4.09-1
2016-05-10 11:29:14 status unpacked libcgi-pm-perl:all 4.09-1
2016-05-10 11:29:14 status unpacked libcgi-pm-perl:all 4.09-1
2016-05-10 11:29:14 install libfcgi-perl:amd64 <none> 0.77-1+b1
2016-05-10 11:29:14 status half-installed libfcgi-perl:amd64 0.77-1+b1
2016-05-10 11:29:14 status unpacked libfcgi-perl:amd64 0.77-1+b1
2016-05-10 11:29:14 status unpacked libfcgi-perl:amd64 0.77-1+b1
2016-05-10 11:29:14 install libcgi-fast-perl:all <none> 1:2.04-1
2016-05-10 11:29:14 status half-installed libcgi-fast-perl:all 1:2.04-1
2016-05-10 11:29:14 status unpacked libcgi-fast-perl:all 1:2.04-1
2016-05-10 11:29:15 status unpacked libcgi-fast-perl:all 1:2.04-1
2016-05-10 11:29:15 install libclass-c3-perl:all <none> 0.26-1
2016-05-10 11:29:15 status half-installed libclass-c3-perl:all 0.26-1
2016-05-10 11:29:15 status unpacked libclass-c3-perl:all 0.26-1
2016-05-10 11:29:15 status unpacked libclass-c3-perl:all 0.26-1
2016-05-10 11:29:15 install libclass-c3-xs-perl:amd64 <none> 0.13-2+b1
2016-05-10 11:29:15 status half-installed libclass-c3-xs-perl:amd64 0.13-2+b1
2016-05-10 11:29:15 status unpacked libclass-c3-xs-perl:amd64 0.13-2+b1
2016-05-10 11:29:15 status unpacked libclass-c3-xs-perl:amd64 0.13-2+b1
2016-05-10 11:29:15 install libcpan-meta-perl:all <none> 2.142690-1
2016-05-10 11:29:15 status half-installed libcpan-meta-perl:all 2.142690-1
2016-05-10 11:29:15 status unpacked libcpan-meta-perl:all 2.142690-1
2016-05-10 11:29:15 status unpacked libcpan-meta-perl:all 2.142690-1
2016-05-10 11:29:15 install libparams-util-perl:amd64 <none> 1.07-2+b1
2016-05-10 11:29:15 status half-installed libparams-util-perl:amd64 1.07-2+b1
2016-05-10 11:29:15 status unpacked libparams-util-perl:amd64 1.07-2+b1
2016-05-10 11:29:15 status unpacked libparams-util-perl:amd64 1.07-2+b1
2016-05-10 11:29:15 install libsub-install-perl:all <none> 0.928-1
2016-05-10 11:29:15 status half-installed libsub-install-perl:all 0.928-1
2016-05-10 11:29:15 status unpacked libsub-install-perl:all 0.928-1
2016-05-10 11:29:15 status unpacked libsub-install-perl:all 0.928-1
2016-05-10 11:29:15 install libdata-optlist-perl:all <none> 0.109-1
2016-05-10 11:29:15 status half-installed libdata-optlist-perl:all 0.109-1
2016-05-10 11:29:15 status unpacked libdata-optlist-perl:all 0.109-1
2016-05-10 11:29:15 status unpacked libdata-optlist-perl:all 0.109-1
2016-05-10 11:29:15 install libmro-compat-perl:all <none> 0.12-1
2016-05-10 11:29:15 status half-installed libmro-compat-perl:all 0.12-1
2016-05-10 11:29:15 status unpacked libmro-compat-perl:all 0.12-1
